Rip;Stato;ValoreAttuale;Unita;SetDay;ValoreAlSetDay;UltimaRicezione;DataLettura
93445893;0;0;MeasureUnit.HCA;0;2020-09-30;2021-11-11T18:57;20211111
93445893;0;0;MeasureUnit.HCA;0;2020-09-30;2021-11-09T20:34;20211109
93445893;0;0;MeasureUnit.HCA;0;2020-09-30;2021-11-15T04:35;20211115
93445893;0;0;MeasureUnit.HCA;0;2020-09-30;2021-11-14T20:23;20211114
93445893;0;0;MeasureUnit.HCA;0;2020-09-30;2021-11-13T19:49;20211113
93445893;0;0;MeasureUnit.HCA;0;2020-09-30;2021-11-16T04:25;20211116
93445893;0;0;MeasureUnit.HCA;0;2020-09-30;2021-11-17T04:12;20211117
93445893;0;0;MeasureUnit.HCA;0;2020-09-30;2021-11-18T00:11;20211118
93445893;0;0;MeasureUnit.HCA;0;2020-09-30;2021-11-19T07:35;20211119
93445893;0;0;MeasureUnit.HCA;0;2020-09-30;2021-11-20T06:15;20211120
93445893;0;0;MeasureUnit.HCA;0;2020-09-30;2021-11-20T06:15;20211120T22
93445893;0;0;MeasureUnit.HCA;0;2020-09-30;2021-11-21T07:30;20211121
93445893;0;0;MeasureUnit.HCA;0;2020-09-30;2021-11-21T23:39;20211122
93445893;0;0;MeasureUnit.HCA;0;2020-09-30;2021-11-23T04:04;20211123
93445893;0;0;MeasureUnit.HCA;0;2020-09-30;2021-11-25T18:47;20211125
93445893;0;0;MeasureUnit.HCA;0;2020-09-30;2021-11-26T03:15;20211126
93445893;0;0;MeasureUnit.HCA;0;2020-09-30;2021-11-27T03:06;20211127
93445893;0;0;MeasureUnit.HCA;0;2020-09-30;2021-11-28T04:05;20211128
93445893;0;0;MeasureUnit.HCA;0;2020-09-30;2021-11-29T03:44;20211129
93445893;0;0;MeasureUnit.HCA;0;2020-09-30;2021-11-30T03:27;20211130
93445893;0;0;MeasureUnit.HCA;0;2020-09-30;2021-12-01T03:33;20211201
93445893;0;0;MeasureUnit.HCA;0;2020-09-30;2021-12-02T04:00;202112
93445893;0;0;MeasureUnit.HCA;0;2020-09-30;2021-12-03T03:31;20211203
93445893;0;0;MeasureUnit.HCA;0;2020-09-30;2021-12-06T03:48;20211206
93445892;0;10;MeasureUnit.HCA;0;2020-09-30;2021-11-10T07:35;20211110
93445892;0;10;MeasureUnit.HCA;0;2020-09-30;2021-11-12T02:21;20211112
93445892;0;10;MeasureUnit.HCA;0;2020-09-30;2021-11-11T19:04;20211111
93445892;0;10;MeasureUnit.HCA;0;2020-09-30;2021-11-09T06:58;20211109
93445892;0;10;MeasureUnit.HCA;0;2020-09-30;2021-11-15T02:51;20211115
93445892;0;10;MeasureUnit.HCA;0;2020-09-30;2021-11-14T18:45;20211114
93445892;0;10;MeasureUnit.HCA;0;2020-09-30;2021-11-13T18:28;20211113
93445892;0;10;MeasureUnit.HCA;0;2020-09-30;2021-11-16T02:26;20211116
93445892;0;10;MeasureUnit.HCA;0;2020-09-30;2021-11-17T19:29;20211117
93445892;0;10;MeasureUnit.HCA;0;2020-09-30;2021-11-18T02:52;20211118
93445892;0;10;MeasureUnit.HCA;0;2020-09-30;2021-11-19T03:01;20211119
93445892;0;10;MeasureUnit.HCA;0;2020-09-30;2021-11-20T03:00;20211120
93445892;0;10;MeasureUnit.HCA;0;2020-09-30;2021-11-20T18:09;20211120T22
93445892;0;10;MeasureUnit.HCA;0;2020-09-30;2021-11-21T02:10;20211121
93445892;0;10;MeasureUnit.HCA;0;2020-09-30;2021-11-22T02:24;20211122
93445892;0;10;MeasureUnit.HCA;0;2020-09-30;2021-11-23T03:21;20211123
93445892;0;10;MeasureUnit.HCA;0;2020-09-30;2021-11-25T18:38;20211125
93445892;0;10;MeasureUnit.HCA;0;2020-09-30;2021-11-26T02:10;20211126
93445892;0;10;MeasureUnit.HCA;0;2020-09-30;2021-11-27T03:10;20211127
93445892;0;10;MeasureUnit.HCA;0;2020-09-30;2021-11-28T03:02;20211128
